,City,NickName,Province,Sex,Signature
0,,吴文静,,2,
1,,乌龟先生,Cuanza Sul,2,He's just not that into you.
2,琼海,拉奇·欧🐶,海南,1,
3,杭州,王小闹,浙江,1,快来感受和拥有海南之美~~
4,琼海,小博,海南,1,同志们，加把劲，还有一个月就放假了!
5,Derry,微信,Northern Ireland,1,中嘉积了
6,武汉,庞珊,湖北,2,
7,陵水,蜡笔小新,海南,1,注定你是我的
8,东丽,轻,天津,1,海南，嗯，它是一个岛，四周都是海，我们每天都看着鲨鱼在海里游
9,海口,无聊,海南,1,
10,海口,yiyi,海南,0,
11,,沐风,,2,
12,,Fungg,,2,
13,文昌,笨小孩,海南,2,
14,三亚,梁定坤,海南,1,自信源于内心强大
15,,吴毅,,0,
16,,泰山,,0,
17,,班井静,,0,
18,海口,kk,海南,1,
19,海口,泽,海南,1,
20,,Alex Goh,,0,
21,昆明,maybe,云南,0,
22,海口,锦,海南,1,
23,海口,JESS01总部收款专用号,海南,1,JESS01总部收款专用
24,,多多,,2,Free To Be Me
25,海口,弦月凉,海南,2,
26,西安,哈哈琦,陕西,2,世界是自己的，与他人毫无关系。
27,Tampin,vellagoh✈,Negeri Sembilan,2,life is too short ，smile when you are still alive ____VELLA
28,琼海,朱小昕,海南,2,没有脉搏的人
29,温州,cls,浙江,1,好无聊，QAQ!!
30,琼海,越远i,海南,1,
31,琼海,如花Lee,海南,1,喜有歌舞，悲有诗书。微阑浮生，伴吾足矣。
32,海口,Odd梅林,海南,1,
33,琼海,明珠,海南,2,
34,,杨,海南,2,换一种心情
35,,阿吉,,0,做个帅气的阿吉
36,廊坊,木槿,河北,1,遇一人白首
37,琼海,郭柳妍,海南,2,"感恩一路有你,因为爱在……..."
38,长春,蕙、,吉林,2,久念之人 在梦不在眼
39,,耳朵依旧是耳朵,Tyrol,2,2017 ing 做个优秀的leader&amp;铲屎官
40,琼海,露拉拉,海南,2,零之使魔
41,,小『松』,,1,
42,武汉,我隔壁叫二狗砸,湖北,2,坚强另一个名字叫硬撑
43,海口,李聪🐎,海南,1,建立自我，追求无我
44,海口,loop,海南,1,二逼青年欢乐多，奇葩朵朵开。
45,定安,beiying,海南,1,一步一个脚印
46,,stayzie,,2,
47,,复燃,,1,勿忘初心就够了
48,海口,NO NO NO,海南,2,凡事包容，凡事相信，凡事盼望，凡事忍耐。
49,海口,Henry,海南,1,"不跟傻逼讲道理
不帮弱智理逻辑
不给怂逼壮胆儿"
50,浦东新区,马岱琪  034650,上海,2,
51,万宁,℃ ℡赱召,海南,1,一步一脚印
52,三亚,JESS运营经理 艾小萱,海南,2,"JESS总部 营销经理 <span class=""emoji emoji1f338""></span> 艾小萱"
53,三亚,白白@JESS玫瑰护肤顾问,海南,2,"<span class=""emoji emoji1f339""></span> 三亚亚龙湾国际玫瑰谷欢迎您<span class=""emoji emoji1f339""></span>"
54,三亚,🌹 JESS铜板团队创始人～思同,海南,2,拥有梦想的人，不做选择题，只做证明题！
55,海口,杨继欣@JESS铁血战队创始人,海南,1,人可以被消灭，但不能被打败。
56,,素冰,,0,
57,三亚,JESS浩瀚联盟创始人～林道禧,海南,1,三亚亚龙湾国际玫瑰谷欢迎您
58,海口,张国伟,海南,1,
59,,二公,,0,
60,海口,文伟亮@JESS玫瑰护肤,海南,1,踏实努力，造就平凡人的非凡成就！
61,,帅帅,,0,
62,浦东新区,saki,上海,2,
63,琼海,糖糖果,海南,2,加油
64,海口,OoO,海南,1,哦
65,广州,请叫我黑囧,广东,1,合唱指挥 演唱会门票 主播礼模商演 明星代言 一手高校艺术资源 
66,浦东新区,Kattttttie🍒,上海,2,明けない夜はない
67,武汉,葵,湖北,2,道阻且长
68,琼海,🍼      晓晓磊。,海南,2,"<span class=""emoji emoji1f338""></span><span class=""emoji emoji1f338""></span><span class=""emoji emoji1f338""></span>再冷的石头，坐上三年也会暖。

"
69,海口,张宁,海南,2,"不听语音<span class=""emoji emoji2600""></span>"
70,琼海,wqx,海南,1,
71,深圳,袁韵💭,广东,2,用一，从无，可生万物。                           _(:з」∠)_
72,琼海,Vv@QW,海南,2,
73,昆明,吴亮,云南,1,努力做到最好！
74,琼海,阿云哥,海南,1,茫茫人海之中，寻我唯一灵魂伴侣，得之我幸，失之我命，如是而已
75,,小琴…,,0,
76,海口,莫里🌹 JESS玫瑰护肤,海南,2,"My hero,my mate."
77,,CooL...,,1,这就是生活。
78,琼海,玲麦,海南,2,为了孩子的一切
79,海口,未生,海南,1,平安！
80,万州,安静,重庆,2,舍不得放弃又不能拥有
81,哈尔滨,荃儿,黑龙江,2,越努力～越幸运～
82,海口,康屹yi,海南,1,不把青春挥霍在梦想上，就是浪费！
83,海口,JESS HR,海南,1,"JESS the best<span class=""emoji emoji1f44d""></span>"
84,朝阳,Mayee🍭,北京,2,在平凡无奇的生命中，做一个快乐的疯子
85,,『BrighTness』,,2,
86,海口,JESS老张,海南,2,合作大咖，与能人为伍
87,武汉,赵雨芹,湖北,2,输不起就不要输，死不了就站起来
88,三亚,leggo,海南,1,少说多做
89,成都,肉肉,四川,2,
90,,🎠 vatalité.,,2,风速成长……
91,,梁小英,,0,健康，快乐，就好！
92,,黑曼巴,Abu Dhabi,1,缘
93,海淀,花开半夏,北京,2,愿一切安好
94,海口,Lemons,海南,2,简单
95,琼海,潘,海南,1,微商请远离
96,宜宾,q弟,四川,1,最好的是自己
97,三亚,吴坤照🌹JESS品牌招商推广负责人,海南,1,"三亚玫瑰谷<span class=""emoji emoji1f339""></span> 淘宝直播创始人！！"
98,,盛夏贪玩,,0,贫瘠小行星，种一颗玫瑰
99,郑州,小香子『♛』,河南,2,🔆🔅我是小样，我就这样
100,深圳,钟泽华🍼,广东,2,15919898234打电话给我呀～
101,,小Q,,2,笑只是个表情，与快乐无关。
102,海口,chenlina,海南,2,子在川上曰，逝者如斯夫，不舍昼夜。
103,海口,xyx,海南,2,......
104,三亚,陳琛,海南,1,不忘初心，像个大男孩，风吹又日晒，生活自由自在。
105,,简单,,0,崇尚慢生活
106,琼海,群哥,海南,1,
107,海口,映子,海南,2,愿我拥有稳稳站在大地之上的力量
